log10_A	width	log10_fpeak	f	spectrum
-1.0	1.0	-6.589743589743589	-8.666666666666666	-6.351451898389854
-1.0	1.0	-6.145299145299145	-8.222222222222221	-6.351451898389854
-1.0	1.0	-5.700854700854701	-7.777777777777778	-6.351451898389854
-1.0	1.0	-5.256410256410257	-7.333333333333334	-6.351451898389854
-1.0	1.0	-4.811965811965813	-6.888888888888889	-6.351451898389854
-1.0	1.0	-4.367521367521368	-6.444444444444445	-6.351451898389854
-1.0	1.0	-3.9230769230769234	-6.0	-6.351451898389854
-1.0	1.0	-8.384615384615385	-10.0	-5.270915187119817
-1.0	1.0	-7.94017094017094	-9.555555555555555	-5.270915187119817
-1.0	1.0	-7.495726495726496	-9.11111111111111	-5.270915187119817
-1.0	1.0	-7.051282051282051	-8.666666666666666	-5.270915187119817
-1.0	1.0	-6.6068376068376065	-8.222222222222221	-5.270915187119817
-1.0	1.0	-6.162393162393162	-7.777777777777778	-5.270915187119817
-1.0	1.0	-5.717948717948719	-7.333333333333334	-5.270915187119817
-1.0	1.0	-5.273504273504274	-6.888888888888889	-5.270915187119817
-1.0	1.0	-4.82905982905983	-6.444444444444445	-5.270915187119817
-1.0	1.0	-4.384615384615385	-6.0	-5.270915187119817
-1.0	1.0	-8.846153846153847	-10.0	-4.322558085393791
-1.0	1.0	-8.401709401709402	-9.555555555555555	-4.322558085393791
-1.0	1.0	-7.957264957264957	-9.11111111111111	-4.322558085393791
-1.0	1.0	-7.512820512820513	-8.666666666666666	-4.322558085393791
-1.0	1.0	-7.068376068376068	-8.222222222222221	-4.322558085393791
-1.0	1.0	-6.6239316239316235	-7.777777777777778	-4.322558085393791
-1.0	1.0	-6.179487179487181	-7.333333333333334	-4.322558085393791
-1.0	1.0	-5.735042735042736	-6.888888888888889	-4.322558085393791
-1.0	1.0	-5.290598290598291	-6.444444444444445	-4.322558085393791
-1.0	1.0	-4.846153846153847	-6.0	-4.322558085393791
-1.0	1.0	-9.307692307692308	-10.0	-3.608991813006787
-1.0	1.0	-8.863247863247864	-9.555555555555555	-3.608991813006787
-1.0	1.0	-8.418803418803419	-9.11111111111111	-3.608991813006787
-1.0	1.0	-7.9743589743589745	-8.666666666666666	-3.608991813006787
-1.0	1.0	-7.52991452991453	-8.222222222222221	-3.608991813006787
-1.0	1.0	-7.085470085470085	-7.777777777777778	-3.608991813006787
-1.0	1.0	-6.641025641025642	-7.333333333333334	-3.608991813006787
-1.0	1.0	-6.196581196581198	-6.888888888888889	-3.608991813006787
-1.0	1.0	-5.752136752136753	-6.444444444444445	-3.608991813006787
-1.0	1.0	-5.307692307692308	-6.0	-3.608991813006787
-1.0	1.0	-9.76923076923077	-10.0	-3.0902642124365456
-1.0	1.0	-9.324786324786324	-9.555555555555555	-3.0902642124365456
-1.0	1.0	-8.88034188034188	-9.11111111111111	-3.0902642124365456
-1.0	1.0	-8.435897435897434	-8.666666666666666	-3.0902642124365456
-1.0	1.0	-7.991452991452991	-8.222222222222221	-3.0902642124365456
-1.0	1.0	-7.547008547008547	-7.777777777777778	-3.0902642124365456
-1.0	1.0	-7.102564102564103	-7.333333333333334	-3.0902642124365456
-1.0	1.0	-6.6581196581196584	-6.888888888888889	-3.0902642124365456
-1.0	1.0	-6.213675213675214	-6.444444444444445	-3.0902642124365456
-1.0	1.0	-5.769230769230769	-6.0	-3.0902642124365456
-1.0	1.0	-10.23076923076923	-10.0	-3.072745034114504
-1.0	1.0	-9.786324786324787	-9.555555555555555	-3.072745034114504
-1.0	1.0	-9.34188034188034	-9.11111111111111	-3.072745034114504
-1.0	1.0	-8.897435897435898	-8.666666666666666	-3.072745034114504
-1.0	1.0	-8.452991452991451	-8.222222222222221	-3.072745034114504
-1.0	1.0	-8.008547008547009	-7.777777777777778	-3.072745034114504
-1.0	1.0	-7.564102564102565	-7.333333333333334	-3.072745034114504
-1.0	1.0	-7.11965811965812	-6.888888888888889	-3.072745034114504
-1.0	1.0	-6.6752136752136755	-6.444444444444445	-3.072745034114504
-1.0	1.0	-6.230769230769231	-6.0	-3.072745034114504
-1.0	1.0	-10.692307692307693	-10.0	-3.919587593218843
-1.0	1.0	-10.247863247863247	-9.555555555555555	-3.919587593218843
-1.0	1.0	-9.803418803418804	-9.11111111111111	-3.919587593218843
-1.0	1.0	-9.358974358974358	-8.666666666666666	-3.919587593218843
-1.0	1.0	-8.914529914529915	-8.222222222222221	-3.919587593218843
-1.0	1.0	-8.47008547008547	-7.777777777777778	-3.919587593218843
-1.0	1.0	-8.025641025641026	-7.333333333333334	-3.919587593218843
-1.0	1.0	-7.581196581196582	-6.888888888888889	-3.919587593218843
-1.0	1.0	-7.136752136752137	-6.444444444444445	-3.919587593218843
-1.0	1.0	-6.6923076923076925	-6.0	-3.919587593218843
-1.0	1.0	-11.153846153846153	-10.0	-5.709514093206901
-1.0	1.0	-10.70940170940171	-9.555555555555555	-5.709514093206901
-1.0	1.0	-10.264957264957264	-9.11111111111111	-5.709514093206901
-1.0	1.0	-9.820512820512821	-8.666666666666666	-5.709514093206901
-1.0	1.0	-9.376068376068375	-8.222222222222221	-5.709514093206901
-1.0	1.0	-8.931623931623932	-7.777777777777778	-5.709514093206901
-1.0	1.0	-8.487179487179489	-7.333333333333334	-5.709514093206901
-1.0	1.0	-8.042735042735043	-6.888888888888889	-5.709514093206901
-1.0	1.0	-7.598290598290599	-6.444444444444445	-5.709514093206901
-1.0	1.0	-7.153846153846154	-6.0	-5.709514093206901
-1.0	1.0	-11.615384615384617	-10.0	-8.409405522241094
-1.0	1.0	-11.17094017094017	-9.555555555555555	-8.409405522241094
-1.0	1.0	-10.726495726495727	-9.11111111111111	-8.409405522241094
-1.0	1.0	-10.282051282051281	-8.666666666666666	-8.409405522241094
-1.0	1.0	-9.837606837606838	-8.222222222222221	-8.409405522241094
-1.0	1.0	-9.393162393162394	-7.777777777777778	-8.409405522241094
-1.0	1.0	-8.948717948717949	-7.333333333333334	-8.409405522241094
-1.0	1.0	-8.504273504273506	-6.888888888888889	-8.409405522241094
-1.0	1.0	-8.05982905982906	-6.444444444444445	-8.409405522241094
-1.0	1.0	-7.615384615384616	-6.0	-8.409405522241094
-1.0	1.0	-12.076923076923077	-10.0	-12.045044807939703
-1.0	1.0	-11.632478632478634	-9.555555555555555	-12.045044807939703
-1.0	1.0	-11.188034188034187	-9.11111111111111	-12.045044807939703
-1.0	1.0	-10.743589743589745	-8.666666666666666	-12.045044807939703
-1.0	1.0	-10.299145299145298	-8.222222222222221	-12.045044807939703
-1.0	1.0	-9.854700854700855	-7.777777777777778	-12.045044807939703
-1.0	1.0	-9.410256410256412	-7.333333333333334	-12.045044807939703
-1.0	1.0	-8.965811965811966	-6.888888888888889	-12.045044807939703
-1.0	1.0	-8.521367521367523	-6.444444444444445	-12.045044807939703
-1.0	1.0	-8.076923076923077	-6.0	-12.045044807939703
-1.0	1.0	-12.538461538461538	-10.0	-16.45419104547096
-1.0	1.0	-12.094017094017094	-9.555555555555555	-16.45419104547096
-1.0	1.0	-11.649572649572649	-9.11111111111111	-16.45419104547096
-1.0	1.0	-11.205128205128204	-8.666666666666666	-16.45419104547096
-1.0	1.0	-10.76068376068376	-8.222222222222221	-16.45419104547096
-1.0	1.0	-10.316239316239315	-7.777777777777778	-16.45419104547096
-1.0	1.0	-9.871794871794872	-7.333333333333334	-16.45419104547096
-1.0	1.0	-9.427350427350428	-6.888888888888889	-16.45419104547096
-1.0	1.0	-8.982905982905983	-6.444444444444445	-16.45419104547096
-1.0	1.0	-8.538461538461538	-6.0	-16.45419104547096
-1.0	1.0	-13.0	-10.0	-21.384038712662772
-1.0	1.0	-12.555555555555555	-9.555555555555555	-21.384038712662772
-1.0	1.0	-12.11111111111111	-9.11111111111111	-21.384038712662772
-1.0	1.0	-11.666666666666666	-8.666666666666666	-21.384038712662772
-1.0	1.0	-11.222222222222221	-8.222222222222221	-21.384038712662772
-1.0	1.0	-10.777777777777779	-7.777777777777778	-21.384038712662772
-1.0	1.0	-10.333333333333334	-7.333333333333334	-21.384038712662772
-1.0	1.0	-9.88888888888889	-6.888888888888889	-21.384038712662772
-1.0	1.0	-9.444444444444445	-6.444444444444445	-21.384038712662772
-1.0	1.0	-9.0	-6.0	-21.384038712662772
-1.0	1.5	-7.0	-10.0	-7.99282811655961
-1.0	1.5	-6.555555555555555	-9.555555555555555	-7.99282811655961
-1.0	1.5	-6.111111111111111	-9.11111111111111	-7.99282811655961
-1.0	1.5	-5.666666666666666	-8.666666666666666	-7.99282811655961
-1.0	1.5	-5.222222222222221	-8.222222222222221	-7.99282811655961
-1.0	1.5	-4.777777777777778	-7.777777777777778	-7.99282811655961
-1.0	1.5	-4.333333333333334	-7.333333333333334	-7.99282811655961
-1.0	1.5	-3.8888888888888893	-6.888888888888889	-7.99282811655961
-1.0	1.5	-3.4444444444444446	-6.444444444444445	-7.99282811655961
-1.0	1.5	-3.0	-6.0	-7.99282811655961
-1.0	1.5	-7.461538461538462	-10.0	-6.876697087393853
-1.0	1.5	-7.017094017094017	-9.555555555555555	-6.876697087393853
-1.0	1.5	-6.572649572649572	-9.11111111111111	-6.876697087393853
-1.0	1.5	-6.128205128205128	-8.666666666666666	-6.876697087393853
-1.0	1.5	-5.683760683760683	-8.222222222222221	-6.876697087393853
-1.0	1.5	-5.239316239316239	-7.777777777777778	-6.876697087393853
-1.0	1.5	-4.794871794871796	-7.333333333333334	-6.876697087393853
-1.0	1.5	-4.350427350427351	-6.888888888888889	-6.876697087393853
-1.0	1.5	-3.9059829059829063	-6.444444444444445	-6.876697087393853
-1.0	1.5	-3.4615384615384617	-6.0	-6.876697087393853
-1.0	1.5	-7.923076923076923	-10.0	-5.846041722774395
-1.0	1.5	-7.478632478632479	-9.555555555555555	-5.846041722774395
-1.0	1.5	-7.034188034188034	-9.11111111111111	-5.846041722774395
-1.0	1.5	-6.589743589743589	-8.666666666666666	-5.846041722774395
-1.0	1.5	-6.145299145299145	-8.222222222222221	-5.846041722774395
-1.0	1.5	-5.700854700854701	-7.777777777777778	-5.846041722774395
-1.0	1.5	-5.256410256410257	-7.333333333333334	-5.846041722774395
-1.0	1.5	-4.811965811965813	-6.888888888888889	-5.846041722774395
-1.0	1.5	-4.367521367521368	-6.444444444444445	-5.846041722774395
-1.0	1.5	-3.9230769230769234	-6.0	-5.846041722774395
-1.0	1.5	-8.384615384615385	-10.0	-4.945128865100032
-1.0	1.5	-7.94017094017094	-9.555555555555555	-4.945128865100032
-1.0	1.5	-7.495726495726496	-9.11111111111111	-4.945128865100032
-1.0	1.5	-7.051282051282051	-8.666666666666666	-4.945128865100032
-1.0	1.5	-6.6068376068376065	-8.222222222222221	-4.945128865100032
-1.0	1.5	-6.162393162393162	-7.777777777777778	-4.945128865100032
-1.0	1.5	-5.717948717948719	-7.333333333333334	-4.945128865100032
-1.0	1.5	-5.273504273504274	-6.888888888888889	-4.945128865100032
-1.0	1.5	-4.82905982905983	-6.444444444444445	-4.945128865100032
-1.0	1.5	-4.384615384615385	-6.0	-4.945128865100032
-1.0	1.5	-8.846153846153847	-10.0	-4.207845378254355
-1.0	1.5	-8.401709401709402	-9.555555555555555	-4.207845378254355
-1.0	1.5	-7.957264957264957	-9.11111111111111	-4.207845378254355
-1.0	1.5	-7.512820512820513	-8.666666666666666	-4.207845378254355
-1.0	1.5	-7.068376068376068	-8.222222222222221	-4.207845378254355
-1.0	1.5	-6.6239316239316235	-7.777777777777778	-4.207845378254355
-1.0	1.5	-6.179487179487181	-7.333333333333334	-4.207845378254355
-1.0	1.5	-5.735042735042736	-6.888888888888889	-4.207845378254355
-1.0	1.5	-5.290598290598291	-6.444444444444445	-4.207845378254355
-1.0	1.5	-4.846153846153847	-6.0	-4.207845378254355
-1.0	1.5	-9.307692307692308	-10.0	-3.6508103449083524
-1.0	1.5	-8.863247863247864	-9.555555555555555	-3.6508103449083524
-1.0	1.5	-8.418803418803419	-9.11111111111111	-3.6508103449083524
-1.0	1.5	-7.9743589743589745	-8.666666666666666	-3.6508103449083524
-1.0	1.5	-7.52991452991453	-8.222222222222221	-3.6508103449083524
-1.0	1.5	-7.085470085470085	-7.777777777777778	-3.6508103449083524
-1.0	1.5	-6.641025641025642	-7.333333333333334	-3.6508103449083524
-1.0	1.5	-6.196581196581198	-6.888888888888889	-3.6508103449083524
-1.0	1.5	-5.752136752136753	-6.444444444444445	-3.6508103449083524
-1.0	1.5	-5.307692307692308	-6.0	-3.6508103449083524
-1.0	1.5	-9.76923076923077	-10.0	-3.3332263767582115
-1.0	1.5	-9.324786324786324	-9.555555555555555	-3.3332263767582115
-1.0	1.5	-8.88034188034188	-9.11111111111111	-3.3332263767582115
-1.0	1.5	-8.435897435897434	-8.666666666666666	-3.3332263767582115
-1.0	1.5	-7.991452991452991	-8.222222222222221	-3.3332263767582115
-1.0	1.5	-7.547008547008547	-7.777777777777778	-3.3332263767582115
-1.0	1.5	-7.102564102564103	-7.333333333333334	-3.3332263767582115
-1.0	1.5	-6.6581196581196584	-6.888888888888889	-3.3332263767582115
-1.0	1.5	-6.213675213675214	-6.444444444444445	-3.3332263767582115
-1.0	1.5	-5.769230769230769	-6.0	-3.3332263767582115
-1.0	1.5	-10.23076923076923	-10.0	-3.3449067871318916
-1.0	1.5	-9.786324786324787	-9.555555555555555	-3.3449067871318916
-1.0	1.5	-9.34188034188034	-9.11111111111111	-3.3449067871318916
-1.0	1.5	-8.897435897435898	-8.666666666666666	-3.3449067871318916
-1.0	1.5	-8.452991452991451	-8.222222222222221	-3.3449067871318916
-1.0	1.5	-8.008547008547009	-7.777777777777778	-3.3449067871318916
-1.0	1.5	-7.564102564102565	-7.333333333333334	-3.3449067871318916
-1.0	1.5	-7.11965811965812	-6.888888888888889	-3.3449067871318916
-1.0	1.5	-6.6752136752136755	-6.444444444444445	-3.3449067871318916
-1.0	1.5	-6.230769230769231	-6.0	-3.3449067871318916
-1.0	1.5	-10.692307692307693	-10.0	-3.7453126920165944
-1.0	1.5	-10.247863247863247	-9.555555555555555	-3.7453126920165944
-1.0	1.5	-9.803418803418804	-9.11111111111111	-3.7453126920165944
-1.0	1.5	-9.358974358974358	-8.666666666666666	-3.7453126920165944
-1.0	1.5	-8.914529914529915	-8.222222222222221	-3.7453126920165944
-1.0	1.5	-8.47008547008547	-7.777777777777778	-3.7453126920165944
-1.0	1.5	-8.025641025641026	-7.333333333333334	-3.7453126920165944
-1.0	1.5	-7.581196581196582	-6.888888888888889	-3.7453126920165944
-1.0	1.5	-7.136752136752137	-6.444444444444445	-3.7453126920165944
-1.0	1.5	-6.6923076923076925	-6.0	-3.7453126920165944
-1.0	1.5	-11.153846153846153	-10.0	-4.560540509063708
-1.0	1.5	-10.70940170940171	-9.555555555555555	-4.560540509063708
-1.0	1.5	-10.264957264957264	-9.11111111111111	-4.560540509063708
-1.0	1.5	-9.820512820512821	-8.666666666666666	-4.560540509063708
-1.0	1.5	-9.376068376068375	-8.222222222222221	-4.560540509063708
-1.0	1.5	-8.931623931623932	-7.777777777777778	-4.560540509063708
-1.0	1.5	-8.487179487179489	-7.333333333333334	-4.560540509063708
-1.0	1.5	-8.042735042735043	-6.888888888888889	-4.560540509063708
-1.0	1.5	-7.598290598290599	-6.444444444444445	-4.560540509063708
-1.0	1.5	-7.153846153846154	-6.0	-4.560540509063708
-1.0	1.5	-11.615384615384617	-10.0	-5.8015897540232455
-1.0	1.5	-11.17094017094017	-9.555555555555555	-5.8015897540232455
-1.0	1.5	-10.726495726495727	-9.11111111111111	-5.8015897540232455
-1.0	1.5	-10.282051282051281	-8.666666666666666	-5.8015897540232455
-1.0	1.5	-9.837606837606838	-8.222222222222221	-5.8015897540232455
-1.0	1.5	-9.393162393162394	-7.777777777777778	-5.8015897540232455
-1.0	1.5	-8.948717948717949	-7.333333333333334	-5.8015897540232455
-1.0	1.5	-8.504273504273506	-6.888888888888889	-5.8015897540232455
-1.0	1.5	-8.05982905982906	-6.444444444444445	-5.8015897540232455
-1.0	1.5	-7.615384615384616	-6.0	-5.8015897540232455
-1.0	1.5	-12.076923076923077	-10.0	-7.480998577495644
-1.0	1.5	-11.632478632478634	-9.555555555555555	-7.480998577495644
-1.0	1.5	-11.188034188034187	-9.11111111111111	-7.480998577495644
-1.0	1.5	-10.743589743589745	-8.666666666666666	-7.480998577495644
-1.0	1.5	-10.299145299145298	-8.222222222222221	-7.480998577495644
-1.0	1.5	-9.854700854700855	-7.777777777777778	-7.480998577495644
-1.0	1.5	-9.410256410256412	-7.333333333333334	-7.480998577495644
-1.0	1.5	-8.965811965811966	-6.888888888888889	-7.480998577495644
-1.0	1.5	-8.521367521367523	-6.444444444444445	-7.480998577495644
-1.0	1.5	-8.076923076923077	-6.0	-7.480998577495644
-1.0	1.5	-12.538461538461538	-10.0	-9.529890557282316
-1.0	1.5	-12.094017094017094	-9.555555555555555	-9.529890557282316
-1.0	1.5	-11.649572649572649	-9.11111111111111	-9.529890557282316
-1.0	1.5	-11.205128205128204	-8.666666666666666	-9.529890557282316
-1.0	1.5	-10.76068376068376	-8.222222222222221	-9.529890557282316
-1.0	1.5	-10.316239316239315	-7.777777777777778	-9.529890557282316
-1.0	1.5	-9.871794871794872	-7.333333333333334	-9.529890557282316
-1.0	1.5	-9.427350427350428	-6.888888888888889	-9.529890557282316
-1.0	1.5	-8.982905982905983	-6.444444444444445	-9.529890557282316
-1.0	1.5	-8.538461538461538	-6.0	-9.529890557282316
-1.0	1.5	-13.0	-10.0	-12.051630491107408
-1.0	1.5	-12.555555555555555	-9.555555555555555	-12.051630491107408
-1.0	1.5	-12.11111111111111	-9.11111111111111	-12.051630491107408
-1.0	1.5	-11.666666666666666	-8.666666666666666	-12.051630491107408
-1.0	1.5	-11.222222222222221	-8.222222222222221	-12.051630491107408
-1.0	1.5	-10.777777777777779	-7.777777777777778	-12.051630491107408
-1.0	1.5	-10.333333333333334	-7.333333333333334	-12.051630491107408
-1.0	1.5	-9.88888888888889	-6.888888888888889	-12.051630491107408
-1.0	1.5	-9.444444444444445	-6.444444444444445	-12.051630491107408
-1.0	1.5	-9.0	-6.0	-12.051630491107408
-1.0	2.0	-7.0	-10.0	-7.117480431619243
-1.0	2.0	-6.555555555555555	-9.555555555555555	-7.117480431619243
-1.0	2.0	-6.111111111111111	-9.11111111111111	-7.117480431619243
-1.0	2.0	-5.666666666666666	-8.666666666666666	-7.117480431619243
-1.0	2.0	-5.222222222222221	-8.222222222222221	-7.117480431619243
-1.0	2.0	-4.777777777777778	-7.777777777777778	-7.117480431619243
-1.0	2.0	-4.333333333333334	-7.333333333333334	-7.117480431619243
-1.0	2.0	-3.8888888888888893	-6.888888888888889	-7.117480431619243
-1.0	2.0	-3.4444444444444446	-6.444444444444445	-7.117480431619243
-1.0	2.0	-3.0	-6.0	-7.117480431619243
-1.0	2.0	-7.461538461538462	-10.0	-6.18140710761334
-1.0	2.0	-7.017094017094017	-9.555555555555555	-6.18140710761334
-1.0	2.0	-6.572649572649572	-9.11111111111111	-6.18140710761334
-1.0	2.0	-6.128205128205128	-8.666666666666666	-6.18140710761334
-1.0	2.0	-5.683760683760683	-8.222222222222221	-6.18140710761334
-1.0	2.0	-5.239316239316239	-7.777777777777778	-6.18140710761334
-1.0	2.0	-4.794871794871796	-7.333333333333334	-6.18140710761334
-1.0	2.0	-4.350427350427351	-6.888888888888889	-6.18140710761334
-1.0	2.0	-3.9059829059829063	-6.444444444444445	-6.18140710761334
-1.0	2.0	-3.4615384615384617	-6.0	-6.18140710761334
-1.0	2.0	-7.923076923076923	-10.0	-5.3599769422868215
-1.0	2.0	-7.478632478632479	-9.555555555555555	-5.3599769422868215
-1.0	2.0	-7.034188034188034	-9.11111111111111	-5.3599769422868215
-1.0	2.0	-6.589743589743589	-8.666666666666666	-5.3599769422868215
-1.0	2.0	-6.145299145299145	-8.222222222222221	-5.3599769422868215
-1.0	2.0	-5.700854700854701	-7.777777777777778	-5.3599769422868215
-1.0	2.0	-5.256410256410257	-7.333333333333334	-5.3599769422868215
-1.0	2.0	-4.811965811965813	-6.888888888888889	-5.3599769422868215
-1.0	2.0	-4.367521367521368	-6.444444444444445	-5.3599769422868215
-1.0	2.0	-3.9230769230769234	-6.0	-5.3599769422868215
-1.0	2.0	-8.384615384615385	-10.0	-4.668327190221084
-1.0	2.0	-7.94017094017094	-9.555555555555555	-4.668327190221084
-1.0	2.0	-7.495726495726496	-9.11111111111111	-4.668327190221084
-1.0	2.0	-7.051282051282051	-8.666666666666666	-4.668327190221084
-1.0	2.0	-6.6068376068376065	-8.222222222222221	-4.668327190221084
-1.0	2.0	-6.162393162393162	-7.777777777777778	-4.668327190221084
-1.0	2.0	-5.717948717948719	-7.333333333333334	-4.668327190221084
-1.0	2.0	-5.273504273504274	-6.888888888888889	-4.668327190221084
-1.0	2.0	-4.82905982905983	-6.444444444444445	-4.668327190221084
-1.0	2.0	-4.384615384615385	-6.0	-4.668327190221084
-1.0	2.0	-8.846153846153847	-10.0	-4.12043128766839
-1.0	2.0	-8.401709401709402	-9.555555555555555	-4.12043128766839
-1.0	2.0	-7.957264957264957	-9.11111111111111	-4.12043128766839
-1.0	2.0	-7.512820512820513	-8.666666666666666	-4.12043128766839
-1.0	2.0	-7.068376068376068	-8.222222222222221	-4.12043128766839
-1.0	2.0	-6.6239316239316235	-7.777777777777778	-4.12043128766839
-1.0	2.0	-6.179487179487181	-7.333333333333334	-4.12043128766839
-1.0	2.0	-5.735042735042736	-6.888888888888889	-4.12043128766839
-1.0	2.0	-5.290598290598291	-6.444444444444445	-4.12043128766839
-1.0	2.0	-4.846153846153847	-6.0	-4.12043128766839
-1.0	2.0	-9.307692307692308	-10.0	-3.736890744790014
-1.0	2.0	-8.863247863247864	-9.555555555555555	-3.736890744790014
-1.0	2.0	-8.418803418803419	-9.11111111111111	-3.736890744790014
-1.0	2.0	-7.9743589743589745	-8.666666666666666	-3.736890744790014
-1.0	2.0	-7.52991452991453	-8.222222222222221	-3.736890744790014
-1.0	2.0	-7.085470085470085	-7.777777777777778	-3.736890744790014
-1.0	2.0	-6.641025641025642	-7.333333333333334	-3.736890744790014
-1.0	2.0	-6.196581196581198	-6.888888888888889	-3.736890744790014
-1.0	2.0	-5.752136752136753	-6.444444444444445	-3.736890744790014
-1.0	2.0	-5.307692307692308	-6.0	-3.736890744790014
-1.0	2.0	-9.76923076923077	-10.0	-3.5418855792359114
-1.0	2.0	-9.324786324786324	-9.555555555555555	-3.5418855792359114
